9/18;[6665, 4608, 5973, 9215, 6667, 7533, 4494, 7532, 4411, 5310, 5005, 4863, 6673, 4991, 5995, 6134, 4869, 6094, 7175, 6651, 5752, 7801, 6211, 6615, 7701, 8068, 7354, 5378, 8120, 6855];[1000, 734, 504, 415, 413, 387, 326, 318, 277, 212, 182, 180, 158, 130, 129, 123, 121, 114, 108, 92, 87, 86, 83, 82, 69, 69, 67, 66, 61, 60]
8/18;[6665, 4608, 5973, 6667, 4494, 7532, 9215, 4991, 6673, 7533, 5995, 4863, 4869, 4411, 6211, 5310, 5752, 6651, 5378, 6615, 6134, 7157, 8068, 8120, 6290, 5005, 7701, 5929, 6855, 7106];[1000, 843, 498, 469, 384, 369, 323, 276, 272, 199, 178, 164, 158, 149, 135, 116, 114, 111, 106, 102, 85, 83, 83, 81, 78, 77, 76, 73, 71, 70]
7/18;[6665, 4608, 6667, 5973, 4494, 7532, 9215, 4991, 6673, 7533, 5995, 4863, 4869, 4411, 6615, 6211, 5310, 5752, 5929, 6651, 5378, 7175, 7701, 5005, 6134, 9211, 8068, 7613, 7157, 8637];[1000, 774, 550, 503, 388, 277, 267, 253, 195, 170, 156, 149, 149, 137, 134, 128, 116, 109, 93, 91, 85, 78, 78, 76, 72, 71, 70, 64, 59, 59]
6/18;[6665, 6667, 4608, 4494, 5973, 9215, 6673, 7533, 4991, 5752, 4863, 6211, 4411, 6651, 5378, 5310, 8068, 5929, 6615, 5995, 7175, 7613, 8120, 9211, 7532, 7701, 8008, 8513, 7157, 6134];[1000, 721, 627, 522, 500, 380, 259, 233, 227, 220, 175, 172, 171, 163, 155, 145, 129, 117, 109, 100, 100, 100, 87, 80, 77, 76, 59, 58, 54, 53]
5/18;[6665, 6667, 4608, 4494, 4991, 5973, 6137, 5752, 4411, 6651, 7533, 6211, 4863, 5995, 5310, 6902, 7175, 5929, 8068, 5378, 6673, 6615, 5991, 8120, 6855, 8008, 7532, 7354, 8513, 7106];[1000, 703, 518, 478, 394, 383, 336, 331, 267, 198, 184, 183, 175, 166, 160, 128, 118, 108, 102, 101, 91, 88, 82, 76, 69, 65, 62, 61, 55, 49]
4/18;[6665, 4608, 4991, 6667, 4494, 5752, 6137, 4411, 5973, 6651, 5995, 7533, 5378, 5929, 5310, 6211, 6902, 6673, 7175, 8068, 7701, 4863, 5991, 6855, 8513, 8481, 7354, 7157, 7532, 7367];[1000, 747, 709, 697, 674, 508, 427, 418, 399, 342, 255, 225, 207, 204, 195, 192, 158, 154, 135, 116, 108, 106, 105, 87, 86, 81, 79, 65, 63, 61]
3/18;[6667, 5752, 4494, 4991, 5973, 4608, 6665, 6137, 5995, 4411, 6211, 5929, 5378, 7533, 7175, 6651, 5310, 7367, 8068, 4863, 6673, 6094, 6902, 6947, 7020, 7532, 8120, 5906, 7354, 5991];[893, 694, 687, 672, 650, 543, 540, 508, 321, 294, 215, 201, 198, 186, 179, 161, 157, 123, 96, 92, 85, 81, 79, 73, 70, 69, 64, 60, 55, 44]
2/18;[6667, 6137, 5752, 4494, 4608, 5973, 5995, 6665, 4991, 6211, 7175, 6651, 4411, 5310, 5929, 7367, 7533, 5378, 6094, 8068, 8120, 4863, 5991, 6673, 6290, 5906, 7020, 7532, 6902, 8637];[928, 824, 723, 664, 562, 517, 450, 375, 322, 216, 178, 165, 161, 146, 146, 146, 131, 118, 118, 107, 72, 69, 62, 61, 60, 59, 59, 58, 52, 38]
1/18;[6137, 6667, 5752, 5995, 6665, 4991, 4494, 4411, 4608, 5378, 6651, 7533, 6615, 5973, 7557, 7367, 6094, 5929, 6211, 5991, 5310, 7175, 8068, 7532, 6673, 6290, 8120, 8637, 8513, 4863];[916, 914, 609, 408, 407, 358, 350, 332, 287, 204, 190, 171, 159, 145, 140, 130, 121, 119, 114, 109, 99, 82, 80, 75, 74, 62, 56, 43, 41, 37]
12/17;[6137, 6667, 6665, 4411, 5752, 4991, 5995, 4494, 7533, 5378, 6615, 6651, 7557, 5991, 6211, 4608, 5973, 5310, 7175, 8068, 6673, 5929, 6290, 7532, 6094, 6902, 8637, 5005, 8474, 8481];[980, 943, 582, 498, 410, 378, 353, 325, 307, 267, 229, 211, 211, 187, 185, 184, 173, 158, 153, 114, 101, 99, 83, 80, 59, 55, 49, 48, 46, 46]
10/17;[6137, 6667, 5995, 6665, 7533, 5378, 5752, 5973, 4411, 6651, 4494, 4991, 8474, 5991, 4608, 7175, 7532, 6211, 5974, 5929, 6290, 6615, 4674, 8068, 6094, 5988, 5310, 6673, 6134, 8120];[881, 873, 761, 734, 588, 476, 472, 420, 302, 298, 297, 268, 212, 202, 201, 200, 163, 118, 113, 109, 90, 75, 74, 71, 70, 57, 55, 55, 52, 52]
9/17;[6137, 5995, 7533, 6667, 6665, 5973, 6651, 5752, 4411, 4608, 5378, 4494, 4991, 7532, 5991, 7175, 5310, 5974, 5929, 6211, 5988, 6290, 5395, 6134, 7557, 6673, 4674, 6745, 6094, 8120];[896, 657, 635, 598, 558, 526, 509, 374, 348, 319, 272, 256, 242, 209, 176, 151, 120, 108, 106, 101, 100, 74, 63, 62, 62, 57, 54, 54, 53, 49]
8/17;[6137, 6665, 6651, 7010, 5995, 6667, 7533, 5378, 5973, 5752, 4608, 5991, 4411, 7532, 4991, 7175, 4494, 5988, 5929, 5310, 6211, 5974, 5395, 7613, 7557, 6134, 4863, 6094, 7865, 7701];[1000, 634, 537, 454, 434, 382, 358, 337, 292, 291, 273, 273, 268, 237, 236, 205, 148, 142, 118, 111, 104, 95, 86, 79, 75, 70, 57, 57, 56, 55]
7/17;[6137, 6665, 6667, 6651, 5995, 7010, 5752, 7533, 5378, 4991, 5973, 4411, 7532, 6615, 4494, 4608, 5991, 5310, 7175, 5988, 5395, 5974, 6211, 6094, 5929, 7613, 6010, 7557, 5422, 6902];[1000, 609, 526, 524, 437, 409, 407, 320, 310, 258, 245, 233, 231, 217, 207, 191, 168, 142, 135, 116, 111, 106, 83, 75, 74, 69, 65, 62, 55, 50]
6/17;[6137, 6667, 6665, 5995, 7533, 5752, 4991, 4608, 5973, 5378, 6615, 6651, 7010, 5310, 4494, 5974, 5991, 7532, 5395, 7557, 4411, 6010, 6211, 7175, 5929, 5422, 6902, 7613, 6673, 7397];[989, 766, 717, 525, 372, 314, 269, 253, 250, 240, 238, 234, 228, 208, 188, 170, 152, 113, 104, 98, 92, 84, 77, 70, 67, 61, 54, 54, 52, 46]
5/17;[6665, 6667, 6137, 5995, 7533, 4608, 5378, 6651, 5310, 6615, 4991, 5752, 4411, 7010, 4494, 5974, 7175, 7557, 5973, 6010, 7532, 6211, 5395, 6902, 5991, 5929, 4602, 4674, 6978, 6134];[900, 849, 653, 408, 349, 336, 311, 301, 283, 275, 253, 215, 199, 194, 175, 165, 134, 124, 115, 90, 88, 78, 77, 74, 72, 71, 56, 55, 53, 52]
4/17;[6665, 6667, 5378, 6137, 4608, 7533, 7010, 5310, 5995, 4991, 6651, 4411, 6615, 5752, 7175, 5974, 5973, 4494, 6134, 6978, 6902, 5929, 7532, 6211, 4674, 5988, 4602, 5395, 6290, 6673];[1000, 701, 537, 525, 444, 424, 293, 288, 279, 270, 250, 242, 229, 219, 215, 149, 105, 100, 81, 68, 67, 64, 63, 58, 57, 53, 50, 46, 45, 45]
3/17;[6665, 5378, 6137, 6667, 7533, 4608, 7010, 7175, 4991, 6651, 5752, 4411, 6615, 4494, 5310, 5995, 6134, 5973, 4674, 5988, 4863, 5974, 6673, 5991, 6290, 6211, 6094, 7557, 5929, 7532];[996, 775, 639, 526, 482, 446, 358, 262, 240, 239, 231, 223, 207, 200, 133, 120, 99, 81, 61, 60, 59, 59, 59, 58, 56, 55, 54, 53, 51, 49]
2/17;[6665, 5378, 6137, 7533, 4608, 6615, 6651, 4411, 6667, 4991, 5752, 4494, 5995, 6134, 5973, 5988, 6902, 7175, 4688, 7532, 7010, 5310, 5929, 4674, 4863, 7331, 7157, 6211, 5991, 7557];[930, 915, 776, 470, 392, 325, 313, 288, 256, 216, 215, 207, 161, 149, 103, 99, 87, 86, 78, 78, 75, 67, 64, 60, 60, 56, 53, 46, 42, 42]
1/17;[6665, 5378, 6137, 6615, 6667, 7533, 4411, 4991, 4608, 5991, 5752, 6651, 5995, 6902, 4494, 5973, 6134, 7010, 5988, 5310, 5929, 7175, 4688, 6211, 7331, 7532, 4674, 4863, 6094, 6773];[1000, 705, 703, 537, 456, 410, 396, 395, 371, 355, 269, 252, 251, 200, 175, 162, 149, 138, 118, 115, 103, 100, 84, 84, 73, 73, 65, 60, 56, 55]
12/16;[6665, 6137, 6615, 4411, 5378, 5422, 6667, 4608, 5752, 5995, 5991, 4494, 7010, 5973, 6902, 6651, 5310, 4991, 7175, 6211, 6134, 4863, 5988, 4688, 6094, 6773, 5974, 4674, 7169, 7331];[953, 850, 810, 656, 624, 567, 535, 487, 431, 391, 355, 292, 262, 239, 217, 207, 164, 155, 141, 115, 102, 99, 91, 86, 70, 51, 45, 41, 41, 39]
10/16;[5378, 5422, 6137, 4608, 5995, 4411, 5752, 5973, 4991, 5991, 6615, 6665, 7010, 4494, 6667, 5988, 5310, 7175, 6773, 4863, 6902, 6134, 6211, 6651, 6673, 4688, 6680, 7331, 5974, 5996];[939, 778, 749, 711, 463, 450, 379, 362, 330, 295, 235, 220, 216, 180, 169, 130, 121, 114, 91, 84, 80, 78, 76, 70, 68, 63, 62, 50, 49, 48]
9/16;[6137, 5378, 5995, 4411, 5752, 5422, 5991, 6665, 6902, 4608, 7175, 7010, 5973, 6667, 4494, 5988, 6615, 6680, 4863, 6651, 6773, 5310, 6211, 5996, 6673, 4991, 5929, 7168, 4688, 5395];[854, 679, 568, 510, 504, 427, 416, 393, 344, 334, 273, 264, 260, 227, 223, 149, 148, 111, 108, 107, 104, 103, 98, 86, 78, 72, 69, 55, 52, 51]
7/16;[6137, 4991, 5995, 4608, 5378, 4411, 5973, 6665, 4494, 5991, 6667, 5988, 7010, 6651, 5752, 5996, 6902, 6615, 5422, 4688, 4863, 5310, 7059, 4869, 6211, 6134, 6959, 6680, 5395, 4501];[967, 641, 547, 458, 428, 338, 315, 301, 249, 227, 225, 201, 195, 194, 159, 159, 157, 134, 127, 92, 83, 79, 78, 58, 58, 53, 52, 45, 34, 31]
6/16;[6290, 5995, 4608, 4991, 4411, 6665, 5378, 7010, 5991, 5973, 5996, 6902, 4494, 5752, 5422, 6667, 6615, 5310, 4863, 6651, 5988, 5974, 6134, 6133, 4688, 6137, 4869, 6211, 6736, 4791];[1000, 613, 609, 566, 497, 333, 285, 276, 235, 222, 187, 182, 177, 177, 160, 160, 148, 135, 106, 82, 76, 72, 71, 67, 60, 58, 55, 51, 29, 26]
5/16;[6290, 4608, 4991, 4411, 6665, 5378, 5995, 5973, 5991, 6118, 4494, 5310, 5422, 6902, 6615, 4863, 6667, 5752, 5974, 6137, 5599, 6133, 4869, 5996, 6211, 6668, 6301, 6673, 6651, 4688];[1000, 750, 678, 560, 388, 375, 317, 269, 268, 260, 187, 186, 171, 164, 141, 131, 129, 122, 110, 102, 96, 85, 72, 67, 51, 48, 47, 47, 46, 45]
4/16;[4608, 6290, 4991, 6665, 4411, 5378, 5991, 5422, 4494, 5973, 5974, 6902, 5995, 4863, 6118, 6667, 5752, 6226, 5310, 6736, 5988, 6673, 6137, 6651, 5929, 6686, 6615, 6301, 6211, 6372];[940, 906, 825, 726, 604, 370, 367, 252, 242, 236, 186, 186, 155, 143, 142, 133, 117, 100, 90, 80, 72, 72, 71, 63, 62, 62, 59, 50, 49, 45]
3/16;[4991, 4608, 6665, 6290, 5991, 5378, 5422, 5995, 4411, 4494, 6667, 5752, 6118, 5974, 6226, 5988, 5310, 5973, 6137, 6673, 6615, 6651, 6686, 6211, 6685, 6736, 6301, 5929, 6372, 6724];[1000, 667, 640, 517, 339, 259, 223, 207, 196, 183, 154, 139, 134, 124, 94, 93, 92, 86, 65, 61, 59, 59, 58, 57, 47, 47, 45, 43, 42, 39]
2/16;[4991, 4608, 5991, 6665, 6290, 5378, 5422, 6667, 5995, 4494, 4411, 5752, 5974, 5988, 5973, 6137, 6226, 6211, 6615, 5310, 6375, 6651, 4501, 6248, 5435, 6503, 4869, 6118, 6372, 6736];[1000, 722, 703, 660, 466, 296, 285, 210, 184, 178, 173, 133, 125, 79, 78, 77, 71, 66, 64, 60, 58, 55, 44, 43, 40, 34, 33, 33, 31, 31]
8/16;[6137, 5378, 6902, 4608, 5995, 5973, 4411, 6665, 5991, 4494, 6651, 7175, 5752, 5988, 5422, 6667, 7010, 6959, 5929, 6615, 5996, 6211, 4688, 5310, 4863, 6680, 7020, 7168, 4869, 4501];[933, 752, 423, 377, 373, 352, 341, 334, 230, 221, 200, 194, 192, 184, 171, 166, 138, 123, 96, 96, 86, 86, 85, 85, 83, 81, 75, 71, 64, 56]
11/16;[6137, 4411, 5378, 5422, 5752, 4608, 5995, 6665, 6667, 5991, 7010, 5973, 6615, 4494, 6651, 4991, 6902, 7175, 6211, 6134, 4863, 5988, 5310, 4688, 6773, 4674, 4501, 5974, 7331, 5929];[933, 801, 692, 608, 545, 527, 453, 416, 416, 307, 278, 275, 254, 243, 232, 210, 189, 173, 157, 131, 125, 120, 111, 99, 83, 62, 55, 49, 49, 48]
11/17;[6137, 6667, 6665, 4411, 5995, 5752, 7533, 5378, 6651, 5973, 4494, 4991, 5991, 6211, 6615, 4608, 7175, 8474, 5929, 8068, 7532, 5310, 7557, 5974, 6290, 6094, 4674, 6673, 5005, 6902];[975, 903, 732, 594, 571, 494, 476, 371, 272, 269, 253, 234, 224, 224, 189, 176, 158, 133, 132, 128, 111, 98, 94, 84, 78, 69, 68, 65, 58, 56]
